word,meaning,level,part_of_speech,example
(n.) pattern,(名) パターン,B1,noun,She noticed a pattern in the test results.
(n.) period,(名) 期間,B1,noun,We studied the Meiji period in history class.
(n.) policy,(名) 方針,B1,noun,The school has a strict phone policy.
(n.) pollution,(名) 汚染,B1,noun,Air pollution is a serious problem.
(n.) problem,(名) 問題,B1,noun,We need to solve this problem together.
(n.) product,(名) 製品,B1,noun,This product is made in Japan.
(n.) progress,(名) 進歩,B1,noun,She made great progress in English.
(n.) purpose,(名) 目的,B1,noun,What is the purpose of this activity?
(n.) quality,(名) 質,B1,noun,The quality of this work is excellent.
(n.) relationship,(名) 関係,B1,noun,They have a strong friendship relationship.
(n.) resource,(名) 資源,B1,noun,Clean water is an important resource.
(n.) response,(名) 反応・返答,B1,noun,Her response to the question was clear.
(n.) responsibility,(名) 責任,B1,noun,Each student has a responsibility to study.
(n.) role,(名) 役割,B1,noun,The teacher plays an important role in learning.
(n.) safety,(名) 安全,B1,noun,Safety is the top priority.
(n.) skill,(名) 技術・スキル,B1,noun,Communication is a key skill.
(n.) source,(名) 源・出典,B1,noun,Check the source of the information.
(n.) statement,(名) 声明・発言,B1,noun,He made a clear statement about the issue.
(n.) system,(名) システム,B1,noun,The school has a new grading system.
(n.) task,(名) 課題,B1,noun,Complete each task in order.
(n.) term,(名) 用語・学期,B1,noun,This term we are studying world history.
(n.) theme,(名) テーマ,B1,noun,The theme of the essay is environmental issues.
(n.) value,(名) 価値,B1,noun,She understands the value of hard work.
(n.) vision,(名) ビジョン,B1,noun,He has a clear vision for the future.
(v.) accept,(動) 受け入れる,B1,verb,She accepted the challenge bravely.
(v.) access,(動) アクセスする,B1,verb,You can access the library online.
(v.) adapt,(動) 適応する,B1,verb,He adapted quickly to his new school.
(v.) affect,(動) 影響する,B1,verb,The weather affects people's moods.
(v.) analyze,(動) 分析する,B1,verb,We analyzed the results of the survey.
(v.) apply,(動) 応募する・適用する,B1,verb,She applied for a scholarship.
(v.) argue,(動) 主張する・言い争う,B1,verb,He argued that homework should be reduced.
(v.) arrange,(動) 手配する,B1,verb,She arranged a meeting with the teacher.
(v.) avoid,(動) 避ける,B1,verb,Try to avoid using your phone in class.
(v.) cause,(動) 引き起こす,B1,verb,Pollution causes many health problems.
(v.) communicate,(動) コミュニケーションを取る,B1,verb,It is important to communicate clearly.
(v.) connect,(動) つなぐ,B1,verb,The bridge connects the two towns.
(v.) contain,(動) 含む,B1,verb,This drink contains a lot of sugar.
(v.) contribute,(動) 貢献する,B1,verb,She contributed a lot to the project.
(v.) debate,(動) 討論する,B1,verb,We debated about the environment.
(v.) depend,(動) 依存する,B1,verb,Success depends on effort.
(v.) discuss,(動) 議論する,B1,verb,We discussed the problem as a group.
(v.) encourage,(動) 励ます,B1,verb,Her teacher encouraged her to keep writing.
(v.) expect,(動) 期待する,B1,verb,I expect a good result from you.
(v.) express,(動) 表現する,B1,verb,She expressed her feelings clearly.
(v.) identify,(動) 特定する,B1,verb,He identified the main problem quickly.
(v.) imagine,(動) 想像する,B1,verb,Imagine a world without pollution.
(v.) include,(動) 含む,B1,verb,The price includes tax.
(v.) influence,(動) 影響を与える,B1,verb,Good teachers influence students positively.
(v.) inform,(動) 知らせる,B1,verb,She informed us about the schedule change.
(v.) interact,(動) 交流する,B1,verb,We interact with students from other schools.
(v.) involve,(動) 含む・巻き込む,B1,verb,The project involves teamwork.
(v.) limit,(動) 制限する,B1,verb,Limit your screen time to two hours.
(v.) obtain,(動) 得る,B1,verb,She obtained a perfect score on the test.
(v.) organize,(動) 組織する,B1,verb,He organized the school event.
(v.) produce,(動) 生産する,B1,verb,This factory produces cars.
(v.) protect,(動) 守る,B1,verb,We must protect the forest.
(v.) provide,(動) 提供する,B1,verb,The school provides free lunches.
(v.) realize,(動) 気づく,B1,verb,She realized she had made a mistake.
(v.) recognize,(動) 認識する,B1,verb,He recognized his old friend at the station.
(v.) relate,(動) 関連する,B1,verb,This story relates to our topic today.
(v.) represent,(動) 代表する,B1,verb,She represents our school at competitions.
(v.) select,(動) 選ぶ,B1,verb,Select the best answer from the choices.
(v.) succeed,(動) 成功する,B1,verb,She succeeded in passing the test.
(v.) survive,(動) 生き残る,B1,verb,The plant survived the cold winter.
(adj.) accurate,(形) 正確な,B1,adj,Give an accurate description of the event.
(adj.) appropriate,(形) 適切な,B1,adj,Choose appropriate words for your essay.
(adj.) aware,(形) 気づいている,B1,adj,She is aware of the importance of sleep.
(adj.) complex,(形) 複雑な,B1,adj,The problem is more complex than we thought.
(adj.) confident,(形) 自信のある,B1,adj,He is confident in his English ability.
(adj.) creative,(形) 創造的な,B1,adj,She is a very creative student.
(adj.) critical,(形) 重要な・批判的な,B1,adj,Critical thinking is an important skill.
(adj.) cultural,(形) 文化的な,B1,adj,Cultural differences are interesting to learn about.
(adj.) current,(形) 現在の,B1,adj,What is the current situation?
(adj.) dependent,(形) 依存している,B1,adj,Don't be too dependent on technology.
(adj.) equal,(形) 等しい,B1,adj,Everyone deserves equal treatment.
(adj.) essential,(形) 不可欠な,B1,adj,Water is essential for life.
(adj.) flexible,(形) 柔軟な,B1,adj,She has a flexible schedule this week.
(adj.) formal,(形) 正式な,B1,adj,Wear formal clothes to the ceremony.
(adj.) global,(形) 世界的な,B1,adj,Climate change is a global problem.
(adj.) independent,(形) 独立した,B1,adj,She is an independent learner.
(adj.) logical,(形) 論理的な,B1,adj,His explanation was very logical.
(adj.) negative,(形) 否定的な,B1,adj,Avoid negative thinking.
(adj.) original,(形) 独自の・元の,B1,adj,She has a very original writing style.
(adj.) positive,(形) 積極的な,B1,adj,Keep a positive attitude.
(adj.) practical,(形) 実践的な,B1,adj,This is a practical solution to the problem.
(adj.) previous,(形) 以前の,B1,adj,Review your previous notes before the test.
(adj.) professional,(形) 専門の,B1,adj,She gave a professional presentation.
(adj.) relevant,(形) 関連した,B1,adj,Please share only relevant information.
(adj.) specific,(形) 具体的な,B1,adj,Can you give a more specific example?
(adj.) typical,(形) 典型的な,B1,adj,A typical school day starts at eight.
(adv.) accordingly,(副) それに応じて,B1,adv,Adjust your plan accordingly.
(adv.) apparently,(副) 明らかに,B1,adv,Apparently she already knew the answer.
(adv.) approximately,(副) おおよそ,B1,adv,The trip takes approximately two hours.
(adv.) broadly,(副) 広く,B1,adv,Broadly speaking English is spoken worldwide.
(adv.) currently,(副) 現在,B1,adv,She is currently studying in the UK.
(adv.) effectively,(副) 効果的に,B1,adv,Use your time effectively.
(adv.) generally,(副) 一般的に,B1,adv,Generally students enjoy group work.
(adv.) mostly,(副) 主に,B1,adv,He mostly studies in the library.
(adv.) overall,(副) 全体的に,B1,adv,Overall the project was a success.
(adv.) recently,(副) 最近,B1,adv,She recently started learning Spanish.
(adv.) relatively,(副) 比較的,B1,adv,The test was relatively easy.
(adv.) significantly,(副) 著しく,B1,adv,Her score improved significantly.
(phr.) as a result,(句) 結果として,B1,phrase,She studied hard; as a result she passed.
(phr.) be aware of,(句) 〜を認識している,B1,phrase,Be aware of the dangers of social media.
(phr.) be based on,(句) 〜に基づいている,B1,phrase,The movie is based on a true story.
(phr.) be interested in,(句) 〜に興味がある,B1,phrase,He is interested in environmental science.
(phr.) come up with,(句) 〜を思いつく,B1,phrase,She came up with a great idea.
(phr.) deal with,(句) 〜に対処する,B1,phrase,We need to deal with this problem now.
(phr.) depend on,(句) 〜に依存する,B1,phrase,Success depends on effort and attitude.
(phr.) find out,(句) 〜を調べる・知る,B1,phrase,I need to find out the answer.
(phr.) get used to,(句) 〜に慣れる,B1,phrase,She got used to the new school quickly.
(phr.) in addition,(句) さらに,B1,phrase,In addition to math she studies science.
(phr.) in order to,(句) 〜するために,B1,phrase,In order to improve study every day.
(phr.) on the other hand,(句) 一方で,B1,phrase,"On the other hand, some people disagree."
(phr.) point out,(句) 指摘する,B1,phrase,He pointed out an error in my essay.
(phr.) refer to,(句) 参照する・指す,B1,phrase,Please refer to page ten.
(conj.) even though,(接) 〜であっても,B1,conj,Even though she was tired she kept studying.
(conj.) in case,(接) 〜の場合に備えて,B1,conj,Bring an umbrella in case it rains.
(conj.) unless,(接) 〜でなければ,B1,conj,Unless you study you will not pass.
(conj.) whereas,(接) 〜であるのに対して,B1,conj,She likes science whereas her sister likes art.
(prep.) according to,(前) 〜によれば,B1,prep,According to the report sales increased.
(prep.) along,(前) 〜に沿って,B1,prep,We walked along the river.
(prep.) besides,(前) 〜に加えて,B1,prep,Besides English she speaks French.
(prep.) through,(前) 〜を通して,B1,prep,She learned English through music.
(n.) abstraction,(名) 抽象的概念,B2,noun,Philosophy deals with abstraction and meaning.
(n.) accountability,(名) 説明責任,B2,noun,Leaders must show accountability for their actions.
(n.) accumulation,(名) 蓄積,B2,noun,An accumulation of small efforts leads to great results.
(n.) acknowledgment,(名) 承認,B2,noun,She received acknowledgment for her research.
(n.) adaptation,(名) 適応,B2,noun,Adaptation to change is a key survival skill.
(n.) aesthetic,(名) 美学,B2,noun,The aesthetic of the painting is striking.
(n.) agenda,(名) 議題,B2,noun,Let us review the agenda for today's meeting.
(n.) allegation,(名) 申し立て,B2,noun,The allegation was investigated carefully.
(n.) allocation,(名) 配分,B2,noun,The allocation of resources affects outcomes.
(n.) anxiety,(名) 不安,B2,noun,Many students feel anxiety before exams.
(n.) approach,(名) アプローチ・取り組み方,B2,noun,She took a creative approach to the problem.
(n.) assertion,(名) 主張,B2,noun,His assertion was supported by strong evidence.
(n.) assessment,(名) 評価,B2,noun,The teacher gave a thorough assessment.
(n.) authority,(名) 権威・権力,B2,noun,The principal has authority over the school.
(n.) barrier,(名) 障壁,B2,noun,Language can be a barrier to communication.
(n.) capacity,(名) 能力・容量,B2,noun,She has the capacity to lead the team.
(n.) circumstance,(名) 状況・事情,B2,noun,Under these circumstances we cannot proceed.
(n.) coherence,(名) 一貫性,B2,noun,Your essay lacks coherence in its argument.
(n.) collaboration,(名) 協力,B2,noun,Collaboration between students improves results.
(n.) commitment,(名) コミットメント,B2,noun,Her commitment to learning is admirable.
(n.) complexity,(名) 複雑さ,B2,noun,The complexity of the issue surprised everyone.
(n.) conception,(名) 概念,B2,noun,His conception of freedom is very broad.
(n.) conflict,(名) 対立・争い,B2,noun,The two groups had a conflict of interest.
(n.) controversy,(名) 論争,B2,noun,The new law created controversy.
(n.) criterion,(名) 基準,B2,noun,What is the criterion for selection?
(n.) curriculum,(名) カリキュラム,B2,noun,The curriculum includes science and art.
(n.) deficit,(名) 赤字・不足,B2,noun,The country has a large budget deficit.
(n.) dilemma,(名) ジレンマ,B2,noun,She faced a dilemma about which school to attend.
(n.) dimension,(名) 次元・側面,B2,noun,Consider every dimension of the problem.
(n.) discourse,(名) 談話・議論,B2,noun,Academic discourse requires careful language.
(n.) distinction,(名) 区別,B2,noun,There is a clear distinction between the two ideas.
(n.) domain,(名) 領域,B2,noun,She is an expert in her domain.
(n.) emergence,(名) 出現,B2,noun,The emergence of AI changed many industries.
(n.) emphasis,(名) 強調,B2,noun,Place more emphasis on accuracy.
(n.) ethics,(名) 倫理,B2,noun,Medical ethics guides doctors in their work.
(n.) exclusion,(名) 排除,B2,noun,Social exclusion can harm mental health.
(n.) framework,(名) 枠組み,B2,noun,Use this framework to plan your essay.
(n.) hierarchy,(名) 階層,B2,noun,The company has a clear hierarchy.
(n.) ideology,(名) イデオロギー,B2,noun,Different political ideologies shape society.
(n.) implication,(名) 含意,B2,noun,Consider the implications of this policy.
(n.) incentive,(名) 動機・インセンティブ,B2,noun,The prize was an incentive to work harder.
(n.) inequality,(名) 不平等,B2,noun,We must reduce economic inequality.
(n.) infrastructure,(名) インフラ,B2,noun,Good infrastructure helps economic growth.
(n.) initiative,(名) 主導権,B2,noun,She took the initiative and organized the event.
(n.) innovation,(名) 革新,B2,noun,Innovation drives progress in society.
(n.) interpretation,(名) 解釈,B2,noun,His interpretation of the poem was unique.
(n.) mechanism,(名) 仕組み・メカニズム,B2,noun,Explain the mechanism behind this reaction.
(n.) merit,(名) 長所・利点,B2,noun,Each plan has its own merit.
(n.) narrative,(名) 語り・物語,B2,noun,The narrative of the novel was gripping.
(n.) nuance,(名) ニュアンス,B2,noun,Pay attention to the nuance of the words.
(n.) objective,(名) 目標,B2,noun,State your objective clearly at the start.
(n.) paradigm,(名) パラダイム,B2,noun,A new paradigm in education is emerging.
(n.) phenomenon,(名) 現象,B2,noun,The northern lights are a natural phenomenon.
(n.) precedent,(名) 前例,B2,noun,This case sets a new legal precedent.
(n.) premise,(名) 前提,B2,noun,The argument is based on a false premise.
(n.) priority,(名) 優先事項,B2,noun,Set your priorities before you begin.
(n.) rationale,(名) 根拠,B2,noun,Explain the rationale behind your decision.
(n.) reform,(名) 改革,B2,noun,Education reform is necessary.
(n.) regulation,(名) 規制,B2,noun,New regulations were introduced last year.
(n.) rhetoric,(名) 修辞・言葉の使い方,B2,noun,Strong rhetoric can move an audience.
(n.) spectrum,(名) スペクトル・範囲,B2,noun,Opinions exist across a wide spectrum.
(n.) stance,(名) 立場,B2,noun,What is your stance on this issue?
(n.) stereotype,(名) ステレオタイプ,B2,noun,Avoid stereotypes when writing about culture.
(n.) strategy,(名) 戦略,B2,noun,She developed a clear study strategy.
(n.) tension,(名) 緊張・対立,B2,noun,There is tension between the two groups.
(n.) transparency,(名) 透明性,B2,noun,Transparency builds trust in organizations.
(n.) trend,(名) 傾向・トレンド,B2,noun,She analyzed the latest trends in education.
(n.) uncertainty,(名) 不確実性,B2,noun,There is uncertainty about the future.
(v.) acknowledge,(動) 認める,B2,verb,She acknowledged the mistake immediately.
(v.) adapt,(動) 適応させる,B2,verb,He adapted his style to suit the audience.
(v.) adhere,(動) 遵守する,B2,verb,You must adhere to the school rules.
(v.) assess,(動) 評価する,B2,verb,The teacher assessed each student fairly.
(v.) attribute,(動) 帰する,B2,verb,She attributed her success to hard work.
(v.) clarify,(動) 明確にする,B2,verb,Please clarify your main argument.
(v.) collaborate,(動) 協力する,B2,verb,The two schools collaborated on the project.
(v.) compensate,(動) 補う,B2,verb,Her creativity compensates for her slow typing.
(v.) comprise,(動) 構成する,B2,verb,The team comprises students from three schools.
(v.) construct,(動) 構築する,B2,verb,Construct your argument logically.
(v.) contrast,(動) 対比する,B2,verb,Contrast the two approaches in your essay.
(v.) convey,(動) 伝える,B2,verb,The poem conveys a feeling of loneliness.
(v.) critique,(動) 批評する,B2,verb,She critiqued the design effectively.
(v.) deduce,(動) 推論する,B2,verb,We deduced the answer from the clues.
(v.) define,(動) 定義する,B2,verb,Define the key terms in your introduction.
(v.) distinguish,(動) 区別する,B2,verb,Can you distinguish between the two ideas?
(v.) dominate,(動) 支配する,B2,verb,One student dominated the whole discussion.
(v.) enhance,(動) 高める,B2,verb,Music can enhance your concentration.
(v.) ensure,(動) 確保する,B2,verb,Ensure that all answers are complete.
(v.) examine,(動) 検討する,B2,verb,Let us examine the evidence carefully.
(v.) exclude,(動) 排除する,B2,verb,No student should be excluded from activities.
(v.) exploit,(動) 活用する・搾取する,B2,verb,We should exploit this opportunity wisely.
(v.) facilitate,(動) 促進する,B2,verb,Technology facilitates learning in many ways.
(v.) formulate,(動) 立案する,B2,verb,She formulated a clear plan.
(v.) generate,(動) 生み出す,B2,verb,This policy will generate many new jobs.
(v.) illustrate,(動) 示す・例証する,B2,verb,Use a chart to illustrate your findings.
(v.) indicate,(動) 示す,B2,verb,The results indicate a clear trend.
(v.) interpret,(動) 解釈する,B2,verb,How do you interpret this sentence?
(v.) investigate,(動) 調査する,B2,verb,Scientists investigated the cause of the disease.
(v.) maximize,(動) 最大化する,B2,verb,Maximize your study time by removing distractions.
(v.) minimize,(動) 最小化する,B2,verb,We must minimize risks.
(v.) modify,(動) 修正する,B2,verb,She modified her essay after the feedback.
(v.) monitor,(動) 監視する,B2,verb,Teachers monitor student progress regularly.
(v.) motivate,(動) 動機づける,B2,verb,The coach motivated the team before the game.
(v.) neglect,(動) 怠る,B2,verb,Do not neglect your health.
(v.) perceive,(動) 認識する,B2,verb,He perceived the change immediately.
(v.) persuade,(動) 説得する,B2,verb,She persuaded her parents to let her study abroad.
(v.) predict,(動) 予測する,B2,verb,Can you predict the outcome?
(v.) prioritize,(動) 優先する,B2,verb,Learn to prioritize your tasks.
(v.) pursue,(動) 追い求める,B2,verb,She pursued her dream of becoming a scientist.
(v.) reject,(動) 拒否する,B2,verb,He rejected the easy option.
(v.) reinforce,(動) 強化する,B2,verb,Practice reinforces what you have learned.
(v.) sustain,(動) 維持する,B2,verb,She sustained her high level of effort.
(v.) transform,(動) 変容させる,B2,verb,Education can transform lives.
(adj.) abstract,(形) 抽象的な,B2,adj,Abstract concepts can be hard to explain.
(adj.) comprehensive,(形) 包括的な,B2,adj,Write a comprehensive summary of the text.
(adj.) contradictory,(形) 矛盾した,B2,adj,His two statements were contradictory.
(adj.) empirical,(形) 経験的な,B2,adj,The theory is supported by empirical data.
(adj.) inherent,(形) 固有の,B2,adj,There is an inherent risk in this plan.
(adj.) intrinsic,(形) 本質的な,B2,adj,She has an intrinsic love of learning.
(adj.) objective,(形) 客観的な,B2,adj,Try to be objective when giving feedback.
(adj.) profound,(形) 深い・重大な,B2,adj,The book had a profound effect on her.
(adj.) rigorous,(形) 厳格な,B2,adj,The test requires rigorous preparation.
(adj.) sophisticated,(形) 洗練された,B2,adj,Her writing style is very sophisticated.
(adj.) subjective,(形) 主観的な,B2,adj,Art appreciation is often subjective.
(adj.) sustainable,(形) 持続可能な,B2,adj,We need sustainable energy solutions.
(adj.) versatile,(形) 多才な,B2,adj,She is a versatile learner.
(adv.) consequently,(副) その結果として,B2,adv,He studied hard; consequently he passed the exam.
(adv.) explicitly,(副) 明示的に,B2,adv,State your opinion explicitly.
(adv.) furthermore,(副) さらに,B2,adv,Furthermore the study shows a clear trend.
(adv.) hence,(副) それゆえ,B2,adv,She was ill; hence she missed the test.
(adv.) nonetheless,(副) それにもかかわらず,B2,adv,Nonetheless she completed the project on time.
(adv.) precisely,(副) 正確に,B2,adv,Use language precisely in academic writing.
(adv.) subsequently,(副) その後,B2,adv,She subsequently became a top student.
(adv.) thereby,(副) それによって,B2,adv,She worked harder thereby improving her score.
(adv.) thus,(副) したがって,B2,adv,He practiced daily; thus he improved greatly.
(phr.) as opposed to,(句) 〜とは対照的に,B2,phrase,She prefers group work as opposed to studying alone.
(phr.) be attributed to,(句) 〜に起因する,B2,phrase,Her success is attributed to daily practice.
(phr.) in contrast to,(句) 〜と対照的に,B2,phrase,In contrast to last year results improved.
(phr.) in terms of,(句) 〜の点では,B2,phrase,In terms of vocabulary she has improved a lot.
(phr.) with regard to,(句) 〜に関して,B2,phrase,With regard to the policy we need more data.
(prep.) despite,(前) 〜にもかかわらず,B2,prep,Despite the rain they played outside.
(prep.) regarding,(前) 〜に関して,B2,prep,He had questions regarding the new rule.
(prep.) throughout,(前) 〜の至る所で,B2,prep,She stayed focused throughout the whole exam.
(conj.) although,(接) 〜だけれども,B2,conj,Although it was cold we went swimming.
(conj.) given that,(接) 〜を考慮すると,B2,conj,Given that we have limited time let us begin.
(conj.) provided that,(接) 〜という条件で,B2,conj,You can use a calculator provided that it is approved.
(n.) apple,(名) りんご,A1,noun,I eat an apple every day.
(n.) back,(名) 背中,A1,noun,My back hurts after sitting all day.
(n.) bank,(名) 銀行,A1,noun,I go to the bank to get money.
(n.) boat,(名) ボート,A1,noun,We went on a small boat.
(n.) bread,(名) パン,A1,noun,I eat bread for breakfast.
(n.) brother,(名) 兄・弟,A1,noun,My brother likes soccer.
(n.) car,(名) 車,A1,noun,My father drives a car.
(n.) cat,(名) 猫,A1,noun,The cat is sleeping on the sofa.
(n.) child,(名) 子ども,A1,noun,The child is very happy.
(n.) coat,(名) コート,A1,noun,Wear your coat. It's cold outside.
(n.) coffee,(名) コーヒー,A1,noun,She drinks coffee every morning.
(n.) dinner,(名) 夕食,A1,noun,We have dinner at six.
(n.) dog,(名) 犬,A1,noun,My dog is very friendly.
(n.) dress,(名) ドレス,A1,noun,She wears a beautiful dress.
(n.) ear,(名) 耳,A1,noun,She has small ears.
(n.) earth,(名) 地球,A1,noun,The earth goes around the sun.
(n.) egg,(名) 卵,A1,noun,I eat an egg for breakfast.
(n.) evening,(名) 夕方,A1,noun,She arrived in the evening.
(n.) eye,(名) 目,A1,noun,She has brown eyes.
(n.) family,(名) 家族,A1,noun,I love my family very much.
(n.) farm,(名) 農場,A1,noun,He works on a farm.
(n.) foot,(名) 足,A1,noun,My foot hurts.
(n.) food,(名) 食べ物,A1,noun,Japanese food is delicious.
(n.) friend,(名) 友達,A1,noun,She is my best friend.
(n.) glass,(名) コップ,A1,noun,I drink water from a glass.
(n.) hair,(名) 髪の毛,A1,noun,She has long hair.
(n.) hat,(名) 帽子,A1,noun,She wears a blue hat.
(n.) heart,(名) 心・心臓,A1,noun,Her heart is very kind.
(n.) house,(名) 住宅,A1,noun,They live in a big house.
(n.) ice,(名) 氷,A1,noun,I put ice in my drink.
(n.) jacket,(名) 上着,A1,noun,He wore a black jacket.
(n.) juice,(名) ジュース,A1,noun,I drink orange juice every morning.
(n.) kitchen,(名) 台所,A1,noun,My mother is in the kitchen.
(n.) knife,(名) ナイフ,A1,noun,Use a knife to cut the bread.
(n.) lake,(名) 湖,A1,noun,We swam in the lake.
(n.) lamp,(名) 電灯,A1,noun,Turn on the lamp. It's dark.
(n.) life,(名) 生活・人生,A1,noun,She leads a happy life.
(n.) line,(名) 線・列,A1,noun,Please stand in line.
(n.) lunch,(名) 昼食,A1,noun,Let's have lunch together.
(n.) man,(名) 男性,A1,noun,The man is very tall.
(n.) meat,(名) 肉,A1,noun,I don't eat meat.
(n.) milk,(名) 牛乳,A1,noun,Children drink milk every day.
(n.) moon,(名) 月,A1,noun,The moon is bright tonight.
(n.) neck,(名) 首,A1,noun,She has a long neck.
(n.) news,(名) ニュース,A1,noun,I watch the news every evening.
(n.) page,(名) ページ,A1,noun,Open your book to page ten.
(n.) paper,(名) 紙,A1,noun,I need a piece of paper.
(n.) party,(名) パーティー,A1,noun,She had a birthday party.
(n.) people,(名) 人々,A1,noun,Many people visited the park.
(n.) person,(名) 人,A1,noun,She is a kind person.
(n.) plane,(名) 飛行機,A1,noun,The plane arrived on time.
(n.) school,(名) 学校,A1,noun,I go to school by bus.
(n.) sentence,(名) 文・文章,A1,noun,Write a sentence in English.
(n.) shirt,(名) シャツ,A1,noun,He wore a white shirt.
(n.) shoe,(名) 靴,A1,noun,I need new shoes.
(n.) shoulder,(名) 肩,A1,noun,She tapped me on the shoulder.
(n.) sister,(名) 姉・妹,A1,noun,My sister is three years old.
(n.) skin,(名) 肌,A1,noun,She has beautiful skin.
(n.) sock,(名) 靴下,A1,noun,I can't find my socks.
(n.) spring,(名) 春,A1,noun,Flowers bloom in spring.
(n.) stone,(名) 石,A1,noun,He threw a stone into the lake.
(n.) summer,(名) 夏,A1,noun,I love swimming in summer.
(n.) ticket,(名) チケット,A1,noun,I bought a ticket for the concert.
(n.) train,(名) 電車,A1,noun,I take the train to school.
(n.) umbrella,(名) 傘,A1,noun,Take your umbrella. It might rain.
(n.) village,(名) 村,A1,noun,He lives in a small village.
(n.) voice,(名) 声,A1,noun,She has a beautiful voice.
(n.) wall,(名) 壁,A1,noun,There is a picture on the wall.
(n.) water,(名) 水,A1,noun,Drink a lot of water every day.
(n.) winter,(名) 冬,A1,noun,It snows a lot in winter.
(n.) woman,(名) 女性,A1,noun,The woman is wearing a red dress.
(n.) year,(名) 年,A1,noun,I am ten years old.
(n.) zoo,(名) 動物園,A1,noun,We visited the zoo last Sunday.
(n.) afternoon,(名) 午後,A1,noun,I have class in the afternoon.
(n.) weekend,(名) 週末,A1,noun,I play tennis on weekends.
(n.) test,(名) テスト,A1,noun,I have a test tomorrow.
(n.) homework,(名) 宿題,A1,noun,I forgot to do my homework.
(n.) seat,(名) 座席,A1,noun,Please take your seat.
(n.) bag,(名) かばん,A1,noun,She has a red bag.
(v.) be,(動) ある・いる・〜だ,A1,verb,I am a student.
(v.) carry,(動) 運ぶ,A1,verb,He carried the box upstairs.
(v.) cut,(動) 切る,A1,verb,Cut the bread into pieces.
(v.) do,(動) する,A1,verb,I do my homework after school.
(v.) eat,(動) 食べる,A1,verb,I eat rice every day.
(v.) enjoy,(動) 楽しむ,A1,verb,I enjoy reading books.
(v.) feel,(動) 感じる,A1,verb,I feel happy today.
(v.) finish,(動) 終える,A1,verb,I finished my homework.
(v.) fly,(動) 飛ぶ,A1,verb,Birds fly in the sky.
(v.) forget,(動) 忘れる,A1,verb,Don't forget your key.
(v.) go,(動) 行く,A1,verb,I go to school by bus.
(v.) grow,(動) 育つ,A1,verb,Flowers grow in the garden.
(v.) help,(動) 助ける,A1,verb,Can you help me?
(v.) hold,(動) 持つ,A1,verb,Hold my hand.
(v.) keep,(動) 保つ,A1,verb,Keep your room clean.
(v.) learn,(動) 学ぶ,A1,verb,I learn English at school.
(v.) leave,(動) 出発する,A1,verb,I leave home at seven.
(v.) like,(動) 好む,A1,verb,I like cats very much.
(v.) move,(動) 動く,A1,verb,Please move to the next seat.
(v.) open,(動) 開ける,A1,verb,Open the window please.
(v.) play,(動) 遊ぶ・演奏する,A1,verb,We play soccer after school.
(v.) practice,(動) 練習する,A1,verb,I practice piano every day.
(v.) remember,(動) 覚えている,A1,verb,I remember her name.
(v.) run,(動) 走る,A1,verb,He runs every morning.
(v.) save,(動) 節約する,A1,verb,Save your money.
(v.) send,(動) 送る,A1,verb,I sent a letter to my friend.
(v.) share,(動) 共有する,A1,verb,Let's share the cake.
(v.) stay,(動) 滞在する,A1,verb,We stayed at a hotel.
(v.) study,(動) 勉強する,A1,verb,I study English every day.
(v.) tell,(動) 伝える,A1,verb,Tell me your name.
(v.) try,(動) 試みる,A1,verb,Try your best.
(v.) turn,(動) 曲がる,A1,verb,Turn left at the corner.
(v.) visit,(動) 訪問する,A1,verb,I visited my grandparents last week.
(v.) wear,(動) 着る,A1,verb,She wears a blue dress.
(v.) win,(動) 勝つ,A1,verb,Our team won the game.
(v.) wish,(動) 願う,A1,verb,I wish you good luck.
(v.) pick up,(動) 拾う,A1,verb,Pick up the pencil from the floor.
(adj.) angry,(形) 怒っている,A1,adj,He was angry at his brother.
(adj.) bad,(形) 悪い,A1,adj,This is a bad idea.
(adj.) black,(形) 黒い,A1,adj,He has a black cat.
(adj.) boring,(形) つまらない,A1,adj,The movie was boring.
(adj.) cheap,(形) 安い,A1,adj,This shirt is very cheap.
(adj.) cute,(形) かわいい,A1,adj,She has a cute dog.
(adj.) different,(形) 異なる,A1,adj,We have different opinions.
(adj.) dry,(形) 乾いた,A1,adj,The road is dry today.
(adj.) empty,(形) 空の,A1,adj,The box is empty.
(adj.) expensive,(形) 高価な,A1,adj,This bag is expensive.
(adj.) fat,(形) 太った,A1,adj,He has a fat cat.
(adj.) fine,(形) 元気な,A1,adj,I am fine thank you.
(adj.) fresh,(形) 新鮮な,A1,adj,This bread is fresh.
(adj.) full,(形) いっぱいの,A1,adj,The bag is full.
(adj.) funny,(形) 面白い,A1,adj,That story is very funny.
(adj.) green,(形) 緑の,A1,adj,The leaves are green.
(adj.) happy,(形) 幸せな,A1,adj,I am happy today.
(adj.) healthy,(形) 健康な,A1,adj,Eat vegetables to stay healthy.
(adj.) heavy,(形) 重い,A1,adj,This box is very heavy.
(adj.) high,(形) 高い,A1,adj,The mountain is very high.
(adj.) ill,(形) 病気の,A1,adj,She is ill today.
(adj.) large,(形) 大きい,A1,adj,They live in a large house.
(adj.) light,(形) 軽い,A1,adj,This bag is very light.
(adj.) lost,(形) 迷った,A1,adj,I am lost. Can you help me?
(adj.) loud,(形) 大きな音の,A1,adj,The music is too loud.
(adj.) lucky,(形) 運の良い,A1,adj,She is a lucky person.
